lon,lat,p_anomalous,label,nearest_gold_deg
-105.4886,38.0658,0.375,1,0.11980374368106755
-105.4889,38.05,0.405,1,0.1345054980288902
-105.6111,38.655,0.445,1,0.1340314011715092
-105.7267,38.3575,0.405,1,0.036191928658194816
-105.5092,38.5553,0.31,1,0.06544810539656674
-105.7325,38.3303,0.355,1,0.060304425210761146
-105.5894,38.3392,0.325,1,0.07309115199530039
-105.5925,38.3378,0.265,1,0.07251043097375831
-105.565,38.3361,0.295,1,0.07587238364517576
-105.3919,38.3461,0.395,1,0.07596400002633298
-105.4428,38.3317,0.3,1,0.0471908010103575
-105.4486,38.3714,0.4,1,0.0825052101385097
-105.4567,38.3742,0.3528277153558052,1,0.08392361824897565
-105.4381,38.4133,0.305,1,0.07046046905890169
-105.5025,38.5886,0.35,1,0.03302363547521596
-105.4358,38.4094,0.31,1,0.0749299119177459
-105.3897,38.43,0.355,1,0.05350007289715249
-105.3256,38.4022,0.335,1,0.01137789084145504
-105.3311,38.4136,0.435,1,0.021920020529188955
-105.3289,38.4161,0.345,1,0.02452160883791987
-105.3706,38.4675,0.47,1,0.01331066489699398
-105.3717,38.4869,0.48,1,0.006285045743662311
-105.2539,38.4653,0.31,1,0.0282024910247282
-105.2539,38.4383,0.41,1,0.01028593700155971
-105.2708,38.4192,0.465,1,0.02091216153342615
-105.2764,38.4194,0.345,1,0.023133406580090273
-105.4936,38.4519,0.395,1,0.01843273446887142
-105.5353,38.4408,0.34,1,0.015051328844985475
-105.6431,38.3681,0.285,1,0.05652889261252946
-105.7081,38.3678,0.24,1,0.015618953229972126
-105.5383,38.4431,0.24,1,0.01550885231085516
-105.2578,38.3006,0.365,1,0.09741970899155618
-105.2919,38.2858,0.445,1,0.07909781918612038
-105.2856,38.2875,0.395,1,0.08059201573357083
-105.4619,38.3075,0.365,1,0.017259655268857053
-105.4503,38.2628,0.375,1,0.032338424513265386
-105.4094,38.4942,0.33,1,0.00938032515427578
-105.3853,38.4892,0.26,1,0.015356881193783093
-105.4567,38.4625,0.46,1,0.0271308256417031
-105.4381,38.2728,0.41,1,0.033569296983995495
-105.4336,38.2864,0.385,1,0.03310905767308814
-105.4367,38.2931,0.295,1,0.02979583360135546
-105.4242,38.3014,0.39,1,0.04351089173988191
-105.5081,38.5853,0.33,1,0.039071735308278156
-105.4144,38.3161,0.305,1,0.057819613454253904
-105.3475,38.3203,0.31,1,0.0732330615227816
-105.3456,38.3189,0.305,1,0.07420450997075798
-105.35,38.2733,0.365,1,0.06663837483012487
-105.3589,38.2939,0.415,1,0.08879203230020764
-105.3347,38.3422,0.295,1,0.04950869014627584
-105.3578,38.3619,0.345,1,0.03997670946938872
-105.3533,38.3619,0.38,1,0.03712623465960775
-105.5072,38.5847,0.455,1,0.03897109826525297
-105.3408,38.4681,0.295,1,0.03412913418180782
-105.8833,38.1478,0.457806884635832,1,0.10198367908641891
-105.8942,38.1478,0.39,1,0.112471226542615
-105.8014,38.1608,0.43280688463583206,1,0.03806281387391173
-105.8039,38.1761,0.4141944444444444,1,0.05279967613536675
-105.8072,38.1753,0.3628277153558052,1,0.05354648261090147
-105.8364,38.1864,0.435,1,0.05913103161623068
-105.9,38.225,0.4091944444444444,1,0.06451679006274827
-105.8917,38.1011,0.41,1,0.10755651909577962
-105.7994,38.1003,0.32,1,0.019994061618396043
-105.7672,38.1006,0.285,1,0.0058960664853806065
-105.7756,38.0711,0.26,1,0.03654560985946247
-105.7861,38.1331,0.3078277153558053,1,0.006508287025017231
-105.7844,38.1256,0.392806884635832,1,0.0034649386719004167
-105.7672,38.0572,0.255,1,0.049211417374425664
-105.8397,38.2422,0.28282771535580525,1,0.013243900482855012
-105.815,38.2153,0.295,1,0.03167041048044662
-105.8378,38.155,0.45419444444444446,1,0.061985593487519634
-105.8681,38.0778,0.22282771535580523,1,0.09096516091339157
-105.5272,38.6358,0.01,1,0.04864580660241358
-105.1653,38.6942,0.275,1,0.07017175571411437
-105.2289,38.6083,0.405,1,0.12810313540269072
-105.2261,38.6017,0.44,1,0.12796357802125366
-105.2253,38.5903,0.31,1,0.12546946481116397
-105.23,38.5772,0.305,1,0.11798100948881413
-105.1878,38.6,0.355,1,0.09501182715851608
-105.2161,38.5433,0.34280688463583203,1,0.08396479381264184
-105.2211,38.5442,0.355,1,0.08833922458342088
-105.2244,38.5058,0.44,1,0.07336638603611301
-105.1236,38.5203,0.295,1,0.04427467221787558
-105.1122,38.5442,0.32,1,0.07005054318133236
-105.1303,38.6106,0.26,1,0.04728626967736366
-105.11,38.6508,0.245,1,0.0022687661845180946
-105.1117,38.6508,0.21,1,0.003515010668551104
-105.4586,38.5186,0.315,1,0.05702044984038373
-105.4889,38.6825,0.345,1,0.06744159324926668
-105.4953,38.6661,0.27,1,0.0522393769105251
-105.3147,38.6978,0.29,0,0.18750046533275508
-105.3278,38.6883,0.25,0,0.1715791901717719
-105.3289,38.6842,0.44,0,0.16887067388980964
-105.385,38.6717,0.37,1,0.1131349570203624
-105.3644,38.6311,0.405,1,0.11972579713662186
-105.3631,38.6275,0.35,1,0.12059766374187972
-105.4186,38.5856,0.37,1,0.0709954540798247
