lat,lon,p_anomalous
45.5206,-114.3239,0.115
45.5461,-114.3169,0.8
45.5633,-114.3211,0.79
45.6106,-114.2911,0.8
45.6978,-114.3683,0.04
45.6961,-114.3678,0.05
45.6858,-114.3642,0.635
45.6992,-114.3217,0.055
45.7194,-114.2542,0.08
45.6661,-114.3197,0.03
45.725,-114.2869,0.075
45.8769,-114.0319,0.1
45.5917,-114.3278,0.855
45.6,-114.3264,0.67
45.6097,-114.3653,0.055
45.5875,-114.3875,0.04
45.5958,-114.4264,0.03
45.9164,-114.0533,0.035
45.9728,-114.3514,0.035
45.9547,-114.2908,0.71
45.5872,-114.5097,0.15
45.6025,-114.5214,0.115
45.6456,-114.4878,0.18
45.6458,-114.4864,0.13
45.6497,-114.485,0.055
45.6722,-114.4678,0.05
45.6806,-114.4597,0.09
45.6792,-114.4561,0.09
45.6825,-114.4531,0.065
45.6283,-114.3028,0.725
45.5269,-114.2864,0.055
45.5428,-114.4028,0.075
45.0931,-114.7583,0.045
45.5789,-114.4711,0.125
45.6358,-114.505,0.07
45.6361,-114.505,0.05
45.725,-114.3569,0.165
45.7078,-114.325,0.1
45.7,-114.3589,0.72
45.7114,-114.2728,0.14
45.6842,-114.2931,0.08
45.6522,-114.2919,0.825
45.6408,-114.2903,0.7
45.6,-114.3033,0.82
45.6472,-114.3078,0.655
45.6778,-114.3083,0.08
45.6842,-114.3042,0.135
45.1078,-114.1053,0.165
45.1392,-114.1231,0.83
45.1458,-114.1203,0.87
45.1522,-114.1228,0.665
45.1583,-114.17,0.825
45.1678,-114.1581,0.705
45.1531,-114.1783,0.15
45.1433,-114.0342,0.05
45.0833,-114.0447,0.185
45.0808,-114.0447,0.11
45.0539,-114.0472,0.125
45.0556,-114.0483,0.12
45.0767,-114.0125,0.145
45.1114,-114.0261,0.215
45.1097,-114.0264,0.13
45.0181,-114.0006,0.08
45.0158,-114.0011,0.135
45.0144,-114.0014,0.185
45.615,-114.0006,0.1
45.505,-114.0989,0.11
45.5244,-114.0928,0.17
45.5536,-114.1425,0.075
45.5511,-114.1336,0.155
45.5819,-114.1194,0.75
45.0772,-114.5261,0.02
45.0783,-114.5253,0.11
45.0778,-114.5233,0.115
45.075,-114.5158,0.05
45.0586,-114.4897,0.175
45.0528,-114.4794,0.145
45.0447,-114.4756,0.065
45.0431,-114.4736,0.15
45.0258,-114.5044,0.135
45.0269,-114.5044,0.15
45.0244,-114.4886,0.065
45.5414,-114.1142,0.14
45.5244,-114.1258,0.17
45.5058,-114.1519,0.13
45.5044,-114.1553,0.115
45.5025,-114.1531,0.17
45.5022,-114.1486,0.135
45.5011,-114.1436,0.16
45.4875,-114.1431,0.73
45.1175,-114.4992,0.12
45.62,-114.0658,0.105
45.6244,-114.0314,0.12
45.6269,-114.0308,0.11
45.6247,-114.0175,0.095
45.3044,-114.4097,0.79
45.2869,-114.4544,0.325
45.2872,-114.4517,0.095
45.2672,-114.4447,0.16
45.2719,-114.4139,0.035
45.2856,-114.3803,0.82
45.2925,-114.3553,0.69
45.2022,-115.8133,0.065
45.1933,-115.8208,0.075
45.17,-115.8094,0.18
45.1678,-115.8061,0.08
45.1569,-115.7983,0.045
45.1503,-115.7942,0.09
45.1481,-115.8039,0.075
45.1464,-115.7986,0.155
45.1461,-115.7969,0.07
45.1319,-115.7789,0.14
45.1211,-115.7636,0.08
45.0261,-115.6222,0.135
45.0275,-115.6233,0.165
45.0367,-115.6194,0.1
45.0444,-115.6256,0.77
45.0419,-115.6258,0.805
45.0364,-115.4806,0.185
45.0361,-115.48,0.195
45.5158,-114.0103,0.715
45.5372,-114.0544,0.76
45.5367,-114.0569,0.735
45.5192,-114.0342,0.745
45.5219,-114.0319,0.765
45.5133,-114.0067,0.84
45.5567,-114.0061,0.775
45.5486,-114.0008,0.755
45.3056,-114.5153,0.75
45.3031,-114.5167,0.84
45.3017,-114.5314,0.695
45.3031,-114.5386,0.83
45.3003,-114.5803,0.845
