lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
46.0564,-114.1911,24.0,147.0,80.0,,4.2,-0.06,-5.0,3946.0,1.999,281.0,,20.0,-20.0,12.1,4.8,-15.0,5033987
46.0317,-114.1894,188.0,1042.0,547.0,,16.7,0.11,16.0,4419.0,1.835,700.0,,40.0,-20.0,31.8,4.7,-15.0,5033988
46.0364,-114.1939,12.2,94.0,55.0,,11.2,-0.1,90.0,2963.0,2.656,115.0,,-14.0,-20.0,4.7,8.9,-15.0,5033989
46.0331,-114.1992,88.8,523.0,285.0,,9.3,-0.06,8.0,3820.0,1.58,500.0,,24.0,22.0,19.6,4.7,-15.0,5033990
46.0353,-114.2125,49.6,305.0,155.0,,5.9,-0.08,9.0,4372.0,2.446,316.0,,40.0,-20.0,13.9,5.4,-15.0,5033991
46.0322,-114.2183,30.6,183.0,107.0,,5.7,-0.05,13.0,2604.0,1.409,292.0,,20.0,21.0,6.1,2.9,-15.0,5033992
46.0186,-114.2089,15.0,93.0,48.0,,2.6,-0.05,6.0,2737.0,1.604,243.0,,30.0,-20.0,9.0,4.9,-15.0,5033993
46.0219,-114.2097,14.7,88.0,44.0,,2.2,-0.04,6.0,2642.0,1.32,193.0,,20.0,-20.0,8.1,3.6,29.0,5033994
46.0239,-114.2111,106.7,604.0,321.0,,10.1,0.04,8.0,5015.0,1.995,621.0,,41.0,-20.0,28.9,4.6,32.0,5033995
46.0253,-114.2122,44.3,247.0,134.0,,4.7,0.19,6.0,3282.0,1.949,303.0,,32.0,26.0,14.5,5.7,-15.0,5033996
46.0264,-114.2131,28.8,171.0,88.0,,3.4,-0.06,5.0,3821.0,1.743,279.0,,29.0,24.0,12.2,4.7,-15.0,5033997
46.0342,-114.2417,48.7,301.0,178.0,,12.1,-0.07,-5.0,3371.0,1.876,252.0,,24.0,-20.0,11.6,5.8,-15.0,5033998
46.0331,-114.2406,33.7,223.0,121.0,,8.6,-0.06,-5.0,3016.0,1.169,212.0,,19.0,-20.0,10.7,3.7,-15.0,5033999
46.0331,-114.2375,57.1,346.0,200.0,,6.2,-0.06,9.0,4241.0,1.882,385.0,,34.0,21.0,17.6,5.1,-15.0,5034000
46.0328,-114.235,41.0,225.0,121.0,,5.0,-0.06,6.0,3434.0,2.311,337.0,,28.0,-20.0,13.4,5.6,-15.0,5034001
46.0342,-114.2292,28.3,157.0,91.0,,4.0,-0.05,6.0,2935.0,1.772,196.0,,20.0,-20.0,8.2,4.8,-15.0,5034002
46.0214,-114.1869,23.7,146.0,76.0,,4.8,-0.07,-5.0,2265.0,1.637,182.0,,54.0,-20.0,8.2,4.3,-15.0,5034003
46.0175,-114.1967,121.6,645.0,359.0,,10.6,-0.06,12.0,4093.0,2.255,491.0,,29.0,-20.0,25.8,5.1,22.0,5034004
46.0142,-114.2544,28.0,164.0,98.0,,5.6,-0.06,-5.0,2424.0,1.546,204.0,,34.0,-20.0,7.6,4.7,-15.0,5034005
46.1053,-114.2775,74.1,442.0,245.0,,3.9,-0.05,-5.0,1842.0,1.268,203.0,,33.0,-20.0,8.6,2.8,-15.0,5034006
46.1206,-114.3053,52.3,350.0,181.0,,4.0,-0.07,-5.0,2786.0,1.855,153.0,,29.0,-20.0,7.9,2.7,-15.0,5034007
46.1244,-114.35,10.3,69.0,41.0,,3.1,-0.07,-5.0,3052.0,1.898,127.0,,-11.0,-20.0,5.6,4.8,-15.0,5034008
46.1236,-114.3181,2.6,20.0,12.0,,0.5,-0.03,-5.0,-711.0,0.5696,72.0,,7.0,-20.0,3.2,1.8,-15.0,5034009
46.105,-114.2778,46.9,268.0,150.0,,6.9,0.22,6.0,2848.0,1.837,244.0,,34.0,-20.0,10.0,5.0,-15.0,5034010
46.0033,-114.1656,14.9,96.0,54.0,,2.5,-0.05,-5.0,1974.0,0.9027,143.0,,22.0,-20.0,4.9,2.9,24.0,5034011
46.0047,-114.1672,13.8,86.0,54.0,,6.2,-0.06,-5.0,2158.0,1.701,157.0,,22.0,-20.0,7.0,4.8,-15.0,5034012
46.0594,-114.2642,15.7,115.0,56.0,,3.3,-0.06,-5.0,3233.0,2.263,179.0,,19.0,-20.0,8.5,6.0,-15.0,5034013
46.0708,-114.2519,25.0,133.0,124.0,,16.8,-0.07,-5.0,3109.0,1.951,260.0,,26.0,23.0,11.5,6.7,-15.0,5034014
46.0761,-114.2522,31.0,214.0,119.0,,16.0,0.24,6.0,2999.0,1.496,230.0,,30.0,-20.0,11.9,5.2,-15.0,5034015
46.0819,-114.2583,61.5,432.0,255.0,,20.1,-0.07,12.0,3386.0,2.86,492.0,,32.0,-20.0,24.0,6.6,19.0,5034016
46.0858,-114.2581,7.1,45.0,26.0,,1.7,-0.04,-5.0,2523.0,1.287,138.0,,14.0,-20.0,5.5,3.7,-15.0,5034017
46.1275,-114.3581,10.6,77.0,43.0,,3.9,-0.07,10.0,2864.0,2.736,180.0,,23.0,-20.0,7.9,8.2,-15.0,5034018
46.1283,-114.3661,130.1,812.0,408.0,,8.9,-0.08,10.0,3624.0,1.568,251.0,,40.0,-20.0,12.7,3.8,25.0,5034019
46.1317,-114.3706,9.4,64.0,33.0,,2.8,-0.07,7.0,2986.0,2.408,153.0,,34.0,-20.0,5.8,6.9,16.0,5034020
46.1344,-114.3839,15.8,106.0,59.0,,1.2,-0.05,-5.0,1903.0,1.568,163.0,,16.0,-20.0,6.3,3.5,-15.0,5034021
46.1333,-114.3942,248.4,1410.0,790.0,,10.8,0.15,9.0,3305.0,2.199,460.0,,59.0,-20.0,19.6,4.6,29.0,5034022
46.1389,-114.4075,58.1,406.0,210.0,,3.5,-0.08,5.0,3548.0,1.734,232.0,,28.0,-20.0,9.1,3.0,20.0,5034023
46.1436,-114.4517,16.5,105.0,57.0,,4.3,-0.07,-5.0,2845.0,2.066,120.0,,21.0,-20.0,5.0,4.8,-15.0,5034024
46.14,-114.4456,20.0,121.0,64.0,,4.7,-0.06,-5.0,1841.0,1.455,103.0,,36.0,-20.0,5.0,4.2,-15.0,5034025
46.1153,-114.2531,16.8,117.0,65.0,,8.4,-0.07,-5.0,2843.0,2.103,182.0,,27.0,-20.0,7.7,6.1,19.0,5034026
46.1194,-114.2539,34.9,233.0,117.0,,6.8,-0.07,5.0,2354.0,1.408,181.0,,16.0,-20.0,7.6,3.8,-15.0,5034027
46.125,-114.2544,35.8,229.0,131.0,,13.6,-0.06,-5.0,2164.0,1.84,182.0,,34.0,-20.0,8.1,5.4,-15.0,5034028
46.0019,-114.0411,24.6,150.0,77.0,,5.6,-0.09,11.0,4851.0,3.446,308.0,,64.0,-20.0,15.9,12.1,-15.0,5034049
46.0017,-114.0533,32.3,252.0,138.0,,5.9,-0.08,11.0,5902.0,4.794,1047.0,,37.0,-20.0,45.6,13.8,-15.0,5034050
46.0175,-114.0178,35.7,211.0,104.0,,7.3,-0.09,7.0,4512.0,2.545,382.0,,37.0,-20.0,17.4,7.6,-15.0,5034051
46.0117,-114.0236,109.9,496.0,275.0,,8.3,-0.09,17.0,4258.0,3.597,601.0,,35.0,-20.0,31.9,10.4,21.0,5034052
46.0042,-114.0272,115.6,544.0,297.0,,10.1,-0.08,17.0,3900.0,2.58,636.0,,32.0,-20.0,32.2,7.1,-15.0,5034053
46.1122,-114.0081,16.1,86.0,51.0,,13.7,-0.06,-5.0,3162.0,1.735,226.0,,24.0,-20.0,10.9,6.4,-15.0,5034054
46.1158,-114.0014,20.6,124.0,56.0,,5.2,-0.09,22.0,4529.0,2.441,329.0,,29.0,-20.0,14.5,8.2,-15.0,5034055
46.1053,-114.0039,16.0,89.0,51.0,,3.4,-0.08,5.0,3222.0,2.139,221.0,,29.0,-20.0,9.4,8.4,-15.0,5034056
46.1058,-114.0056,21.2,127.0,59.0,,8.8,-0.09,53.0,4143.0,2.966,303.0,,42.0,-20.0,12.6,11.1,30.0,5034057
46.11,-114.0028,24.3,140.0,78.0,,8.7,-0.06,11.0,2774.0,2.807,305.0,,26.0,-20.0,18.0,8.2,-15.0,5034058
46.1131,-114.0117,14.1,94.0,51.0,,9.0,-0.11,10.0,3637.0,2.221,237.0,,39.0,-20.0,8.9,9.4,-15.0,5034059
46.1175,-114.0153,25.5,166.0,86.0,,21.4,-0.09,-5.0,3646.0,2.273,407.0,,44.0,-20.0,21.9,11.2,22.0,5034060
46.1214,-114.0172,26.0,169.0,94.0,,25.1,-0.09,7.0,4586.0,3.229,383.0,,48.0,-20.0,17.6,11.7,15.0,5034061
46.1233,-114.0228,92.7,517.0,253.0,,22.9,-0.09,15.0,8784.0,4.82,1035.0,,83.0,-20.0,45.4,16.0,22.0,5034062
46.0217,-114.0142,71.9,578.0,299.0,,4.9,-0.08,22.0,3422.0,3.001,1181.0,,36.0,-20.0,19.2,4.2,15.0,5034063
46.0317,-114.0136,46.1,359.0,211.0,,2.7,-0.07,10.0,2862.0,2.619,579.0,,30.0,-20.0,21.0,6.1,-15.0,5034064
46.035,-114.0075,38.8,247.0,139.0,,4.9,-0.08,-5.0,4317.0,3.04,790.0,,26.0,-20.0,33.0,8.0,32.0,5034065
46.0381,-114.0092,52.9,311.0,174.0,,5.2,-0.09,7.0,4598.0,4.039,972.0,,43.0,-20.0,48.0,13.1,-15.0,5034066
46.0408,-114.0097,38.1,294.0,157.0,,6.6,-0.1,7.0,5350.0,3.386,775.0,,34.0,-20.0,34.8,11.5,-15.0,5034067
46.0428,-114.0111,37.7,331.0,172.0,,6.1,-0.1,6.0,6397.0,4.671,1056.0,,-15.0,-20.0,42.6,20.5,-15.0,5034068
46.0525,-114.0153,15.4,134.0,68.0,,2.8,-0.09,6.0,6456.0,3.619,311.0,,30.0,-20.0,12.8,9.0,-15.0,5034069
46.0547,-114.0197,85.8,817.0,485.0,,9.1,-0.09,-5.0,5677.0,5.568,2183.0,,45.0,-20.0,96.1,10.4,-15.0,5034070
46.0525,-114.0297,52.1,442.0,220.0,,8.6,-0.1,10.0,7419.0,3.862,1371.0,,52.0,-20.0,67.0,13.9,-15.0,5034071
46.0461,-114.015,13.8,143.0,71.0,,3.7,-0.11,-5.0,6679.0,5.782,606.0,,32.0,-20.0,29.4,26.2,-15.0,5034072
46.0217,-114.1553,85.5,386.0,200.0,,4.7,-0.08,-5.0,3733.0,2.385,340.0,,33.0,-20.0,14.4,6.6,-15.0,5034073
46.0214,-114.1575,15.4,92.0,55.0,,2.5,-0.07,6.0,2826.0,2.606,190.0,,-10.0,-20.0,9.7,7.7,-15.0,5034074
46.0247,-114.1419,69.8,348.0,175.0,,6.0,-0.09,7.0,3051.0,1.8,519.0,,50.0,-20.0,26.1,4.9,-15.0,5034075
46.0358,-114.1244,23.0,130.0,63.0,,3.9,-0.1,8.0,4529.0,3.296,326.0,,49.0,-20.0,14.0,12.0,24.0,5034076
46.0353,-114.1169,23.4,135.0,68.0,,3.4,-0.09,6.0,5146.0,3.1,345.0,,47.0,-20.0,13.8,9.7,16.0,5034077
46.0369,-114.1125,59.6,271.0,148.0,,5.3,-0.09,15.0,6807.0,4.333,582.0,,81.0,-20.0,27.4,11.5,30.0,5034078
46.0358,-114.1081,31.6,168.0,65.0,,3.7,-0.11,8.0,5027.0,3.027,254.0,,66.0,-20.0,11.8,11.3,-15.0,5034079
46.0453,-114.0958,30.8,164.0,83.0,,3.8,-0.11,5.0,5603.0,4.238,433.0,,62.0,-20.0,22.0,16.0,25.0,5034080
46.0317,-114.1294,28.7,204.0,104.0,,4.4,-0.1,10.0,6106.0,4.16,397.0,,19.0,-20.0,20.2,11.0,-15.0,5034081
46.1081,-114.1661,15.3,106.0,59.0,,3.6,-0.07,-5.0,3259.0,2.926,301.0,,39.0,-20.0,14.5,8.2,-15.0,5034082
46.0975,-114.1622,5.7,29.0,19.0,,2.3,-0.12,8.0,3361.0,6.147,98.0,,322.0,-20.0,3.8,23.5,27.0,5034083
46.1022,-114.1517,14.2,95.0,42.0,,2.8,-0.09,7.0,5922.0,4.242,228.0,,161.0,-20.0,9.5,12.2,-15.0,5034084
46.1036,-114.1397,66.7,333.0,174.0,,20.0,-0.09,6.0,6748.0,3.033,1001.0,,50.0,-20.0,39.8,10.7,17.0,5034085
46.1028,-114.1389,15.0,96.0,46.0,,3.7,-0.08,-5.0,3748.0,2.806,177.0,,63.0,-20.0,7.4,9.9,-15.0,5034086
46.0967,-114.1444,17.6,123.0,54.0,,7.3,-0.11,8.0,5284.0,3.46,252.0,,51.0,-20.0,11.7,12.6,-15.0,5034087
46.1647,-114.1514,21.9,83.0,50.0,,7.0,-0.07,24.0,2296.0,2.886,164.0,,18.0,-20.0,8.0,7.9,-15.0,5034088
46.1597,-114.1375,28.1,136.0,69.0,,4.8,-0.07,-5.0,3132.0,2.681,257.0,,26.0,-20.0,12.6,7.4,-15.0,5034089
46.1536,-114.1256,47.4,195.0,106.0,,6.1,-0.06,13.0,3031.0,2.684,317.0,,42.0,-20.0,14.4,7.5,-15.0,5034090
46.1494,-114.1183,55.1,261.0,124.0,,8.1,-0.09,10.0,4216.0,2.948,409.0,,35.0,-20.0,18.9,9.9,17.0,5034091
46.1442,-114.1158,51.1,226.0,123.0,,17.1,-0.08,5.0,2804.0,2.809,332.0,,20.0,-20.0,16.5,7.7,21.0,5034092
46.1464,-114.105,21.9,108.0,56.0,,3.7,-0.07,5.0,3124.0,2.181,270.0,,36.0,-20.0,12.0,7.4,-15.0,5034093
46.1467,-114.0992,28.0,137.0,72.0,,5.6,-0.07,14.0,3629.0,2.738,320.0,,35.0,-20.0,14.4,9.0,-15.0,5034094
46.1411,-114.1003,13.3,80.0,36.0,,3.8,-0.09,11.0,3877.0,2.218,195.0,,38.0,-20.0,8.3,8.1,-15.0,5034095
46.1411,-114.105,14.7,78.0,38.0,,2.5,-0.06,-5.0,1830.0,1.915,118.0,,16.0,-20.0,4.7,5.6,-15.0,5034096
46.145,-114.0922,79.0,384.0,195.0,,13.7,-0.09,14.0,7176.0,3.209,961.0,,62.0,-20.0,43.6,10.2,18.0,5034097
46.1436,-114.0783,13.4,92.0,53.0,,10.0,-0.08,7.0,2183.0,2.214,214.0,,38.0,-20.0,9.0,8.0,-15.0,5034098
46.1419,-114.0747,31.0,155.0,74.0,,5.7,-0.09,-5.0,4955.0,3.227,359.0,,72.0,-20.0,15.8,11.5,25.0,5034099
46.1408,-114.075,18.1,84.0,47.0,,4.3,-0.09,8.0,4485.0,3.024,228.0,,36.0,-20.0,10.0,9.8,26.0,5034100
46.1364,-114.07,37.4,186.0,97.0,,14.3,-0.09,13.0,4194.0,2.802,539.0,,41.0,-20.0,22.4,8.0,18.0,5034101
46.1331,-114.0575,37.2,201.0,99.0,,10.4,-0.07,5.0,3494.0,2.634,446.0,,46.0,-20.0,19.9,8.6,17.0,5034102
46.1317,-114.0475,41.5,119.0,56.0,,6.8,-0.09,19.0,3422.0,4.454,281.0,,55.0,-20.0,15.4,18.1,-15.0,5034103
46.13,-114.0475,40.3,115.0,60.0,,10.8,-0.09,41.0,-1526.0,6.015,268.0,,39.0,-20.0,12.6,21.2,23.0,5034104
46.1269,-114.0322,38.9,149.0,80.0,,9.4,-0.09,60.0,3081.0,5.408,229.0,,37.0,-20.0,10.7,21.5,27.0,5034105
46.1256,-114.0317,33.7,170.0,96.0,,14.6,-0.08,-5.0,5472.0,3.753,443.0,,68.0,-20.0,19.1,12.8,-15.0,5034106
46.1281,-114.0406,26.5,147.0,66.0,,11.0,-0.09,8.0,5659.0,3.247,356.0,,74.0,-20.0,15.9,12.1,-15.0,5034107
46.1792,-114.0761,22.1,118.0,67.0,,17.6,-0.07,7.0,3332.0,2.112,257.0,,20.0,-20.0,12.4,6.9,-15.0,5034108
46.1808,-114.0839,11.2,71.0,42.0,,9.5,-0.08,-5.0,3069.0,2.176,148.0,,20.0,-20.0,6.2,6.5,-15.0,5034109
46.1819,-114.0892,15.3,84.0,46.0,,4.2,-0.07,-5.0,3227.0,2.186,212.0,,30.0,-20.0,9.3,7.9,-15.0,5034110
46.1828,-114.0967,45.9,271.0,148.0,,8.2,0.13,-5.0,3339.0,2.396,249.0,,32.0,-20.0,11.8,5.6,-15.0,5034111
46.1817,-114.1083,22.9,140.0,75.0,,6.3,-0.07,12.0,3430.0,2.485,271.0,,41.0,-20.0,10.9,7.4,21.0,5034112
46.1839,-114.125,,,,,3.0,,,,,,,,,,,,5034113
46.1772,-114.0669,14.5,106.0,55.0,,3.2,-0.08,13.0,6068.0,5.647,224.0,,35.0,-20.0,10.8,19.2,15.0,5034114
46.1756,-114.0583,23.2,131.0,66.0,,6.4,-0.09,8.0,3363.0,2.198,247.0,,53.0,-20.0,11.5,7.9,-15.0,5034115
46.1775,-114.0494,17.5,110.0,54.0,,3.7,-0.07,9.0,4921.0,2.958,183.0,,66.0,-20.0,7.6,9.9,15.0,5034116
46.175,-114.0542,26.9,191.0,95.0,,9.6,-0.06,7.0,3782.0,2.512,380.0,,45.0,-20.0,16.0,8.4,-15.0,5034117
46.1728,-114.0411,17.9,120.0,62.0,,3.9,-0.07,-5.0,2926.0,2.62,196.0,,34.0,-20.0,8.6,8.5,-15.0,5034118
46.17,-114.0444,21.4,118.0,57.0,,5.3,-0.07,-5.0,2076.0,1.647,144.0,,22.0,-20.0,5.8,4.8,-15.0,5034119
46.1711,-114.0347,23.0,160.0,85.0,,4.0,-0.06,-5.0,3293.0,2.324,181.0,,42.0,-20.0,8.5,7.7,-15.0,5034120
