lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
36.3217,-77.592,67.0,270.0,133.0,700.0,22.9,-0.01,,,7.64,,25.0,12.0,40.0,467.0,13.4,-2.0,5285597
36.2492,-77.5543,9.0,47.0,42.0,800.0,4.3,-0.01,4.0,10100.0,1.65,,-5.0,6.0,5.0,32.0,5.3,-2.0,5285598
36.4106,-77.6199,23.0,122.0,56.0,700.0,7.7,-0.01,3.0,,2.37,,-5.0,10.0,40.0,120.0,3.4,-2.0,5285599
36.42,-77.5876,9.0,74.0,27.0,1000.0,3.8,-0.01,3.0,10500.0,2.8,,-5.0,12.0,20.0,33.0,8.9,-2.0,5285600
36.3748,-77.5887,18.0,96.0,,700.0,6.5,-0.01,1.0,,3.0,,10.0,-5.0,15.0,116.0,3.8,-2.0,5285601
36.2758,-77.4759,6.0,-28.0,43.0,1000.0,3.6,-0.01,5.0,5300.0,5.91,,17.0,50.0,13.0,3.0,9.6,-2.0,5285602
36.244,-77.5449,13.0,61.0,31.0,800.0,4.6,-0.01,2.0,,1.72,,-5.0,5.0,75.0,60.0,3.2,-2.0,5285603
36.2278,-77.5447,5.0,43.0,18.0,700.0,3.6,-0.01,4.0,10100.0,0.99,,-5.0,20.0,15.0,49.0,2.4,-2.0,5285604
36.2181,-77.5676,8.0,69.0,28.0,900.0,4.3,-0.01,5.0,,1.27,,-5.0,5.0,15.0,14.0,5.4,-2.0,5285605
36.2204,-77.5807,6.0,26.0,25.0,500.0,4.3,-0.01,3.0,14400.0,1.51,,5.0,50.0,-5.0,67.0,2.6,-2.0,5285606
36.2073,-77.6148,27.0,150.0,72.0,700.0,12.1,-0.01,,,2.79,,20.0,14.0,5.0,220.0,4.1,-2.0,5285607
36.1743,-77.6151,49.0,155.0,99.0,800.0,11.8,-0.01,3.0,13500.0,1.71,,25.0,9.0,5.0,155.0,3.6,-2.0,5285608
36.1431,-77.6148,34.0,228.0,64.0,700.0,8.4,-0.01,4.0,14600.0,0.94,,-5.0,-5.0,5.0,94.0,9.4,-2.0,5285609
36.2248,-77.4282,49.0,205.0,103.0,700.0,12.7,-0.01,1.0,42300.0,4.97,,-5.0,19.0,10.0,182.0,9.2,-2.0,5285610
36.1856,-77.4731,6.0,-20.0,14.0,500.0,2.9,-0.01,,,0.76,,-5.0,6.0,10.0,37.0,1.8,-2.0,5285611
36.0482,-77.9994,15.0,41.0,21.0,700.0,11.8,-0.01,1.0,32800.0,2.21,,-5.0,-5.0,20.0,333.0,9.3,2.0,5285663
36.0619,-77.9865,44.0,99.0,48.0,700.0,27.2,-0.01,2.0,73700.0,6.38,,15.0,-5.0,-5.0,840.0,14.9,2.0,5285664
36.1085,-77.9886,37.0,87.0,51.0,700.0,6.2,-0.01,1.0,5600.0,0.73,,10.0,-5.0,-5.0,63.0,2.5,-2.0,5285665
36.1277,-77.9566,13.0,25.0,17.0,600.0,2.7,-0.01,,6900.0,1.36,,-5.0,15.0,-5.0,37.0,2.4,-2.0,5285666
36.1452,-77.9827,8.0,-20.0,9.0,600.0,7.5,-0.01,1.0,,1.06,,5.0,5.0,-5.0,184.0,8.2,2.0,5285667
36.1369,-77.9129,13.0,33.0,14.0,700.0,3.1,-0.01,,11300.0,1.37,,-5.0,7.0,5.0,66.0,3.4,2.0,5285668
36.1312,-77.88,14.0,53.0,25.0,600.0,6.2,-0.01,1.0,19600.0,2.16,,-5.0,10.0,5.0,145.0,4.6,2.0,5285669
36.0773,-77.902,7.0,-24.0,10.0,500.0,1.7,-0.01,1.0,11300.0,2.14,,-5.0,-5.0,150.0,29.0,10.9,-2.0,5285670
36.089,-77.9222,14.0,22.0,24.0,700.0,4.8,-0.01,1.0,18200.0,1.69,,-5.0,7.0,40.0,105.0,7.0,2.0,5285671
36.0865,-77.9306,15.0,-20.0,22.0,700.0,4.2,-0.01,1.0,16500.0,-0.5,,10.0,9.0,15.0,72.0,5.6,2.0,5285672
36.0713,-77.9279,6.0,23.0,12.0,700.0,2.1,-0.01,,14600.0,1.23,,-5.0,9.0,-5.0,19.0,5.4,-2.0,5285673
36.0683,-77.9455,32.0,59.0,26.0,700.0,11.7,-0.01,4.0,48800.0,3.67,,5.0,10.0,-5.0,383.0,11.6,2.0,5285674
36.0441,-77.9306,63.0,210.0,115.0,900.0,30.9,-0.01,,70800.0,4.71,,-5.0,28.0,30.0,837.0,10.8,2.0,5285675
36.0301,-77.9612,5.0,-23.0,7.0,600.0,1.9,-0.01,1.0,21300.0,1.08,,-5.0,-5.0,25.0,31.0,3.5,-2.0,5285676
36.0165,-77.9353,,,,700.0,,,1.0,,,,-5.0,11.0,100.0,,,2.0,5285677
36.0124,-77.8116,21.0,67.0,41.0,900.0,5.0,-0.01,1.0,26600.0,1.53,,5.0,15.0,80.0,61.0,3.0,-2.0,5285678
36.0386,-77.7985,54.0,194.0,99.0,900.0,7.6,-0.01,,7000.0,0.83,,35.0,5.0,80.0,60.0,3.8,-2.0,5285679
36.0308,-77.7674,43.0,153.0,75.0,900.0,8.8,-0.01,,26300.0,1.16,,10.0,17.0,-5.0,100.0,3.9,-2.0,5285680
36.0454,-77.7566,33.0,67.0,46.0,800.0,4.6,-0.01,,8300.0,0.94,,10.0,14.0,50.0,50.0,2.1,-2.0,5285681
36.1419,-77.7427,34.0,143.0,67.0,700.0,7.7,-0.01,,12900.0,1.07,,20.0,10.0,30.0,83.0,2.3,-2.0,5285682
36.1149,-77.7831,50.0,165.0,71.0,700.0,12.4,-0.01,,30400.0,2.61,,5.0,14.0,50.0,209.0,6.6,2.0,5285683
36.1017,-77.7743,99.0,336.0,197.0,1100.0,17.0,-0.01,,12700.0,1.51,,15.0,9.0,-5.0,101.0,3.6,-2.0,5285684
36.072,-77.8699,46.0,164.0,76.0,700.0,7.6,-0.01,,12000.0,2.02,,10.0,10.0,100.0,54.0,6.9,-2.0,5285685
36.1073,-77.8417,38.0,-20.0,57.0,900.0,19.3,-0.01,,60300.0,-0.5,,-5.0,18.0,-5.0,407.0,7.8,2.0,5285686
