lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
38.8245,-121.1535,7.0,19.0,9.0,468.0,1.2,,,4506.0,4.64,20.0,15.0,114.0,4.0,-15.0,17.0,,5189916
38.8442,-121.1571,-2.0,16.0,9.0,560.0,3.1,,,2208.0,3.43,13.0,10.0,91.0,-4.0,-15.0,13.0,,5189917
38.8546,-121.1521,14.0,26.0,9.0,655.0,7.1,,,8027.0,5.81,57.0,26.0,187.0,7.0,-15.0,25.0,,5189918
38.8757,-121.1521,14.0,46.0,21.0,1502.0,3.1,,,5016.0,4.05,14.0,21.0,108.0,6.0,-15.0,14.0,,5189919
38.8911,-121.1946,-2.0,19.0,6.0,262.0,1.7,,,3309.0,3.92,12.0,21.0,76.0,4.0,-15.0,19.0,,5189920
38.8274,-120.8344,6.0,33.0,20.0,258.0,2.3,,,2193.0,3.0,58.0,11.0,60.0,4.0,33.0,10.0,,5189971
38.874,-121.1992,4.0,22.0,12.0,396.0,1.3,,,6310.0,6.48,63.0,14.0,74.0,8.0,-15.0,17.0,,5189921
38.872,-121.2372,4.0,24.0,11.0,1083.0,1.7,,,3602.0,3.79,15.0,17.0,75.0,5.0,-15.0,15.0,,5189922
38.8974,-121.2292,4.0,20.0,10.0,456.0,2.0,,,2919.0,2.98,12.0,13.0,38.0,5.0,-15.0,11.0,,5189923
38.9261,-121.2266,6.0,30.0,13.0,751.0,2.2,,,4751.0,4.91,15.0,20.0,99.0,5.0,-15.0,15.0,,5189924
38.9559,-121.2278,-2.0,-10.0,4.0,413.0,1.1,,,4200.0,7.01,13.0,13.0,141.0,5.0,-15.0,30.0,,5189925
38.985,-121.2185,-2.0,-10.0,2.0,389.0,0.6,,,3529.0,5.72,12.0,13.0,192.0,4.0,-15.0,33.0,,5189926
38.9817,-121.1978,-2.0,-10.0,3.0,453.0,0.4,,,5332.0,5.68,17.0,14.0,21.0,-4.0,-15.0,16.0,,5189927
38.9544,-121.1892,5.0,17.0,7.0,633.0,0.8,,,4865.0,6.07,10.0,16.0,133.0,5.0,-15.0,26.0,,5189928
38.9275,-121.1949,9.0,30.0,15.0,554.0,2.2,,,4387.0,4.29,17.0,18.0,104.0,6.0,-15.0,15.0,,5189929
38.7589,-120.8186,2.0,43.0,24.0,338.0,2.9,,,4289.0,4.4,79.0,16.0,111.0,10.0,-15.0,14.0,,5189972
38.9307,-121.1568,-2.0,-10.0,2.0,291.0,0.3,,,5928.0,6.8,10.0,15.0,105.0,4.0,-15.0,29.0,,5189930
