lon,lat,p_anomalous,label,nearest_gold_deg
-112.1956,46.6572,0.02,1,0.0019450963986377
-112.145,46.6647,0.02,1,0.007533531708299988
-112.145,46.6647,0.02,1,0.007533531708299988
-112.145,46.6647,0.02,1,0.007533531708299988
-112.1222,46.6542,0.015,1,0.013797912885644626
-112.1222,46.6542,0.02,1,0.013797912885644626
-112.1222,46.6542,0.02,1,0.013797912885644626
-112.1786,46.615,0.02,1,0.006773256233160343
-112.1786,46.615,0.02,1,0.006773256233160343
-112.1786,46.615,0.02,1,0.006773256233160343
-111.8292,46.535,0.02,1,0.016772146553141548
-111.8292,46.535,0.02,1,0.016772146553141548
-111.8292,46.535,0.02,1,0.016772146553141548
-111.8333,46.6728,0.005,1,0.01805344565449665
-111.8333,46.6728,0.0,1,0.01805344565449665
-111.8333,46.6728,0.025,1,0.01805344565449665
-111.8317,46.6767,0.015,1,0.01825762580402846
-111.8317,46.6767,0.01,1,0.01825762580402846
-111.8317,46.6767,0.005,1,0.01825762580402846
-111.7833,46.7083,0.02,1,0.01853625906163407
-111.8933,46.6683,0.005,1,0.06062613627800493
-111.8933,46.6683,0.005,1,0.06062613627800493
-111.8933,46.6683,0.005,1,0.06062613627800493
-112.6319,46.2889,0.005,1,0.040035234481635644
-112.4583,45.8753,0.0,1,0.0057050328658099
-112.4597,45.88,0.265,1,0.000809567785916748
-112.4564,45.8769,0.0,1,0.005290689936100581
-112.4578,45.8811,0.04,1,0.002280219287690375
-112.4575,45.8847,0.0,1,0.004718410749396082
-112.4631,45.8831,0.0,1,0.0038625639153296257
-112.4756,45.8881,0.03,1,0.017208120176247257
-112.4628,45.8917,0.0,1,0.011309438536021194
-112.4628,45.8917,0.005,1,0.011309438536021194
-112.4628,45.8917,0.01,1,0.011309438536021194
-112.4628,45.8917,0.01,1,0.011309438536021194
-112.4589,45.895,0.01,1,0.014316263478997756
-112.4678,45.9061,0.0,1,0.026527333073645784
-112.4883,45.925,0.0,1,0.04274480553236361
-112.4883,45.925,0.0,1,0.04274480553236361
-112.4883,45.925,0.0,1,0.04274480553236361
-112.4958,45.9306,0.0,1,0.04878450983662865
-112.4958,45.9306,0.0,1,0.04878450983662865
-112.4958,45.9306,0.0,1,0.04878450983662865
-112.4958,45.9306,0.01,1,0.04878450983662865
-112.4958,45.9083,0.025,1,0.04471594122904888
-112.4958,45.9083,0.015,1,0.04471594122904888
-112.4958,45.9083,0.005,1,0.04471594122904888
-112.4894,45.9047,0.01,1,0.037894371613742275
-112.4894,45.9047,0.01,1,0.037894371613742275
-112.4894,45.9047,0.005,1,0.037894371613742275
-112.4258,45.8997,0.0,1,0.026581363772385454
-112.4706,45.8831,0.03,1,0.010812927448207032
-112.425,45.8944,0.005,1,0.03174297402575699
-112.4206,45.8978,0.055,1,0.030464978253731765
-112.4203,45.8989,0.195,1,0.02964929847399729
-112.4467,45.9044,0.0,1,0.02333604293790746
-112.4453,45.9078,0.0,1,0.019697078463565002
-112.4419,45.9167,0.0,1,0.010471337068396664
-112.4256,45.9083,0.0,1,0.018858549785177838
-112.4256,45.9083,0.015,1,0.018858549785177838
-112.4256,45.9083,0.025,1,0.018858549785177838
-112.4569,45.8661,0.0,1,0.014965273134822809
-112.4592,45.8639,0.0,1,0.0168514509761017
-112.4583,45.8611,0.0,1,0.019707851227365698
-112.4803,45.8536,0.0,1,0.03385408985632543
-112.4803,45.8536,0.015,1,0.03385408985632543
-112.4803,45.8536,0.0,1,0.03385408985632543
-112.4817,45.8575,0.055,1,0.0317546122634219
-112.4564,45.8358,0.0,1,0.013599661760500306
